2026-09-23T19:16:29Z INFO Logging to /tmp/logs/update_2026-09-23T19-16-29Z.log.
2026-09-23T19:16:29Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-23T19:16:29Z INFO Processing 370 items (55049 already recorded).
2026-09-23T19:37:21Z INFO [159/370] 115bcfd3-c891-4c04-89d3-c81492de6d31: 181 groups; 8.3 s; peak memory 271 MiB.
2026-09-23T19:37:22Z INFO [160/370] 115c05a6-b8e1-4c04-964f-d7ee0a09a473: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:37:24Z INFO [161/370] 115dc2ae-557e-45a4-a3da-06e0bb4cbd11: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:37:31Z INFO [162/370] 115e1944-1eab-4185-b74f-61cf13280511: 116 groups; 7.1 s; peak memory 271 MiB.
2026-09-23T19:37:55Z INFO [163/370] 115e3191-0593-41d9-aaf2-aba9a5112af9: 227 groups; 24.7 s; peak memory 271 MiB.
2026-09-23T19:37:57Z INFO [164/370] 1160d91e-1081-4359-abbc-471c625ff3b4: 42 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:38:01Z INFO [165/370] 1160f0ae-2d4c-45eb-90dc-e294fc026465: 48 groups; 3.6 s; peak memory 271 MiB.
2026-09-23T19:38:14Z INFO [166/370] 116200c1-7c0c-4a5e-9818-b03680c5f757: 36 groups; 12.6 s; peak memory 271 MiB.
2026-09-23T19:38:22Z INFO [167/370] 11627e66-1657-46f5-8760-2283ca17ddec: 137 groups; 8.0 s; peak memory 271 MiB.
2026-09-23T19:38:23Z INFO [168/370] 1162b4bd-8fde-4cd9-9921-3119b6654b2f: 22 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:38:25Z INFO [169/370] 1162b9c7-57dd-4b4f-9a12-e72be07bb0b4: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:38:30Z INFO [170/370] 116318c7-7603-4f9f-a033-0fd0de2b7dd0: 56 groups; 4.9 s; peak memory 271 MiB.
2026-09-23T19:38:31Z INFO [171/370] 11633790-4a12-444e-9b48-2a7ec8967b57: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:38:33Z INFO [172/370] 1164308b-9274-4642-9126-2a29cc298840: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:38:41Z INFO [173/370] 11644031-fe25-4bbd-867b-50a29f33e339: 158 groups; 8.7 s; peak memory 271 MiB.
2026-09-23T19:38:43Z INFO [174/370] 1164cde0-d0b8-4783-b0ed-9975f0fd9726: 256 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:38:44Z INFO [175/370] 11652ff4-b460-4b23-a210-4e76fea7ad71: 22 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:38:46Z INFO [176/370] 116536dc-13b3-4982-9823-83b54aa3948d: 29 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:39:03Z INFO [177/370] 11655e33-9773-4755-b728-6622a80e7683: 88 groups; 17.2 s; peak memory 271 MiB.
2026-09-23T19:43:47Z INFO [178/370] 1165c201-662e-4dae-981f-afa49f6abe93: 64 groups; 284.1 s; peak memory 396 MiB.
2026-09-23T19:43:49Z INFO [179/370] 116603d1-d92f-46a1-bd61-94fa54283c37: 22 groups; 1.6 s; peak memory 396 MiB.
2026-09-23T19:43:51Z INFO [180/370] 11666a56-8626-484a-8322-40ed710e5cda: 32 groups; 1.8 s; peak memory 396 MiB.
2026-09-23T19:44:33Z INFO [181/370] 1167b175-f43a-4f6e-9186-4df766f115d6: 17 groups; 42.2 s; peak memory 396 MiB.
