2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:50:59Z INFO [30/367] 15a6d021-14f3-498c-919b-a9876f4689c9: 32 groups; 1.9 s; peak memory 167 MiB.
2026-09-25T19:51:12Z INFO [31/367] 15a76068-331c-4a14-a41b-f0a62792af46: 135 groups; 13.5 s; peak memory 167 MiB.
2026-09-25T19:51:14Z INFO [32/367] 15a77a02-28a5-489c-b171-242bfc838bdb: 41 groups; 2.1 s; peak memory 167 MiB.
2026-09-25T19:51:16Z INFO [33/367] 15a841ef-39fe-4bc8-85b3-f7ece27b8903: 35 groups; 2.0 s; peak memory 167 MiB.
2026-09-25T19:51:18Z INFO [34/367] 15a85253-b8a3-482f-874e-338c8b30c9b5: 22 groups; 1.7 s; peak memory 167 MiB.
2026-09-25T19:51:22Z INFO [35/367] 15a947f5-e504-4a4c-a01f-117ce708ae69: 50 groups; 3.8 s; peak memory 167 MiB.
2026-09-25T19:51:23Z INFO [36/367] 15a9771f-566c-425c-acf0-7e019a5e3e89: 18 groups; 1.3 s; peak memory 167 MiB.
2026-09-25T19:51:25Z INFO [37/367] 15a9e2ef-d254-4141-845c-42c2485fcf44: 24 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:51:26Z INFO [38/367] 15abace0-f522-47da-95bc-2df18b5970dd: 24 groups; 1.6 s; peak memory 167 MiB.
2026-09-25T19:51:30Z INFO [39/367] 15ac4d9e-4f93-4698-bb2b-359ec19613ca: 48 groups; 3.5 s; peak memory 167 MiB.
2026-09-25T19:51:32Z INFO [40/367] 15ac6bb4-13e2-4511-967c-03163bcb7d9f: 32 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:51:38Z INFO [41/367] 15adeb19-5df0-4862-bec1-62af18ae1417: 17 groups; 5.9 s; peak memory 167 MiB.
2026-09-25T19:51:45Z INFO [42/367] 15ae4d37-88b8-46cc-a0b2-31c1ea7cb577: 201 groups; 7.5 s; peak memory 167 MiB.
2026-09-25T19:51:47Z INFO [43/367] 15ae73f8-577f-458e-a38d-dbcbb47608f6: 21 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:51:48Z INFO [44/367] 15aecc35-3304-40d0-9cc0-a0f8cd43d105: 16 groups; 1.2 s; peak memory 167 MiB.
2026-09-25T19:51:49Z INFO [45/367] 15b04f5f-1ff1-4444-917e-594ceb66ea80: 22 groups; 1.3 s; peak memory 167 MiB.
2026-09-25T19:52:05Z INFO [46/367] 15b12ad9-8f9d-49bf-8829-89e484edaa42: 76 groups; 15.5 s; peak memory 167 MiB.
