2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:07:59Z INFO [49/381] 14e4d6e0-4b8c-4fdc-8a2c-b7b25108a4f5: 32 groups; 1.6 s; peak memory 401 MiB.
2026-09-25T16:08:01Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: 22 groups; 1.4 s; peak memory 401 MiB.
2026-09-25T16:08:01Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: checkpointed 56960 records.
2026-09-25T16:10:24Z INFO [51/381] 14e580c3-c6c3-418b-b308-951e30ee48ff: 71 groups; 143.3 s; peak memory 416 MiB.
2026-09-25T16:10:25Z INFO [52/381] 14e6128b-ab28-4045-9531-bdba21892399: 22 groups; 1.2 s; peak memory 416 MiB.
2026-09-25T16:10:27Z INFO [53/381] 14e648bc-2aaf-4845-a4fd-3340f2e2a8c2: 22 groups; 1.3 s; peak memory 416 MiB.
2026-09-25T16:10:28Z INFO [54/381] 14e8af25-b5d4-4084-9754-29a1ed21dfbc: 22 groups; 1.3 s; peak memory 416 MiB.
2026-09-25T16:10:30Z INFO [55/381] 14e907c2-cee7-45fa-a999-06ca7006f311: 195 groups; 1.8 s; peak memory 416 MiB.
2026-09-25T16:12:30Z INFO [56/381] 14e9c297-0241-4f29-afc3-2c29c401c204: 27 groups; 120.1 s; peak memory 416 MiB.
2026-09-25T16:12:31Z INFO [57/381] 14ea233b-b38c-4653-be79-9db51c198b53: 17 groups; 1.1 s; peak memory 416 MiB.
2026-09-25T16:12:34Z INFO [58/381] 14ea847c-cc68-44ef-a367-2bfd5a715f60: 91 groups; 3.6 s; peak memory 416 MiB.
2026-09-25T16:12:37Z INFO [59/381] 14eb4a72-2d9b-4bfc-8b3b-9618d1f5a4c0: 336 groups; 2.2 s; peak memory 416 MiB.
2026-09-25T16:12:38Z INFO [60/381] 14eb5f99-a7f6-4560-8a39-10f5ee287f90: 22 groups; 1.2 s; peak memory 416 MiB.
2026-09-25T16:12:46Z INFO [61/381] 14eb7683-e269-492f-ad35-0c093612424b: 34 groups; 8.4 s; peak memory 416 MiB.
2026-09-25T16:12:48Z INFO [62/381] 14ee09a8-c29e-4b5d-9f6f-cd835e70066a: 35 groups; 1.8 s; peak memory 416 MiB.
2026-09-25T16:12:49Z INFO [63/381] 14ee6a4d-d7b8-4e46-b9f7-b76d926474a7: 32 groups; 1.5 s; peak memory 416 MiB.
2026-09-25T16:12:51Z INFO [64/381] 14ef610d-06cc-4a6c-87ed-6dadc37492ab: 22 groups; 1.2 s; peak memory 416 MiB.
2026-09-25T16:12:52Z INFO [65/381] 14f05a66-5c34-40fa-a9da-4b1b76099134: 22 groups; 1.3 s; peak memory 416 MiB.
2026-09-25T16:12:55Z INFO [66/381] 14f078dd-5b0b-4a77-bdbc-11d44e3cad4a: 48 groups; 3.0 s; peak memory 416 MiB.
2026-09-25T16:12:56Z INFO [67/381] 14f1af01-bf18-4904-a605-d8f1ce81dbe5: 16 groups; 1.2 s; peak memory 416 MiB.
2026-09-25T16:12:58Z INFO [68/381] 14f21e19-c31a-4a82-a9f5-d2a74e15aef9: 253 groups; 1.4 s; peak memory 416 MiB.
2026-09-25T16:12:59Z INFO [69/381] 14f3304f-48cd-495d-8986-58e6953e0631: 194 groups; 1.8 s; peak memory 416 MiB.
2026-09-25T16:13:01Z INFO [70/381] 14f349e0-6c34-498d-a7d9-06e96a1a0a5d: 22 groups; 1.3 s; peak memory 416 MiB.
2026-09-25T16:15:05Z INFO [71/381] 14f3507c-63c5-4e72-bca3-b004877c89bc: 102 groups; 124.1 s; peak memory 486 MiB.
2026-09-25T16:15:07Z INFO [72/381] 14f37951-de91-42e5-b55d-a33f91fa8d6f: 206 groups; 1.8 s; peak memory 486 MiB.
2026-09-25T16:15:08Z INFO [73/381] 14f43350-639c-4508-8ef7-c3cd74357401: 22 groups; 1.0 s; peak memory 486 MiB.
2026-09-25T16:15:09Z INFO [74/381] 14f4b69a-7f98-4a54-b98b-920382313995: 30 groups; 1.1 s; peak memory 486 MiB.
2026-09-25T16:15:10Z INFO [75/381] 14f4e496-20d3-447d-b9cf-5e5603293175: 33 groups; 1.7 s; peak memory 486 MiB.
2026-09-25T16:15:14Z INFO [76/381] 14f5103f-d016-44eb-8277-d42f91b3199f: 50 groups; 3.4 s; peak memory 486 MiB.
2026-09-25T16:15:16Z INFO [77/381] 14f5195d-8f41-4da7-bcc3-f65d172e8972: 35 groups; 2.1 s; peak memory 486 MiB.
2026-09-25T16:15:17Z INFO [78/381] 14f53915-0607-45d1-a392-7cbd03d9f7aa: 22 groups; 1.3 s; peak memory 486 MiB.
2026-09-25T16:15:20Z INFO [79/381] 14f58237-2fa1-4ba3-ac4f-61d58e916505: 47 groups; 2.8 s; peak memory 486 MiB.
2026-09-25T16:15:36Z INFO [80/381] 14f59e65-e355-4642-bb4e-43fde46814ee: 311 groups; 15.7 s; peak memory 486 MiB.
2026-09-25T16:15:37Z INFO [81/381] 14f606b5-5332-4dca-b33e-23214a232dfb: 22 groups; 1.2 s; peak memory 486 MiB.
2026-09-25T16:15:51Z INFO [82/381] 14f617d9-c65b-4dea-b988-cd0979f9ea80: 466 groups; 14.1 s; peak memory 486 MiB.
2026-09-25T16:15:53Z INFO [83/381] 14f6e60f-79c4-48ff-9da2-2546b5eceaf5: 32 groups; 1.6 s; peak memory 486 MiB.
2026-09-25T16:15:55Z INFO [84/381] 14f6e7ac-4eed-4e05-b74d-216ab7aad44d: 32 groups; 1.8 s; peak memory 486 MiB.
2026-09-25T16:15:57Z INFO [85/381] 14f70b9b-0c0a-4a1b-95ab-09061a054074: 49 groups; 2.1 s; peak memory 486 MiB.
2026-09-25T16:16:07Z INFO [86/381] 14f8374d-8842-406f-9fb6-7afeaa999c82: 68 groups; 9.9 s; peak memory 486 MiB.
2026-09-25T16:16:10Z INFO [87/381] 14f956e3-fbf5-45b9-afbf-1b4e2c8ae02b: 40 groups; 3.1 s; peak memory 486 MiB.
2026-09-25T16:18:18Z INFO [88/381] 14f969ce-d04d-4a08-a5cd-f6aa5fbd2f8f: 102 groups; 128.0 s; peak memory 486 MiB.
2026-09-25T16:18:19Z INFO [89/381] 14f96f73-1b44-4b37-b846-7c4b811d70c3: 22 groups; 1.2 s; peak memory 486 MiB.
2026-09-25T16:18:20Z INFO [90/381] 14f998fa-20d0-44c7-b7c7-c232fdbf55d8: 32 groups; 1.5 s; peak memory 486 MiB.
2026-09-25T16:18:22Z INFO [91/381] 14fa0273-1afd-42fc-a64c-421b13e97179: 22 groups; 1.2 s; peak memory 486 MiB.
2026-09-25T16:18:27Z INFO [92/381] 14fa3638-809d-4ffa-b307-3a1d734d51bc: 78 groups; 5.8 s; peak memory 486 MiB.
2026-09-25T16:18:29Z INFO [93/381] 14fa5cee-0894-4100-a907-dd87053b6c2f: 32 groups; 1.5 s; peak memory 486 MiB.
2026-09-25T16:18:38Z INFO [94/381] 14fa6ab7-61de-47cd-9723-b97ba753ee08: 165 groups; 8.8 s; peak memory 486 MiB.
2026-09-25T16:18:40Z INFO [95/381] 14fb16d5-533f-4e85-a8f7-02139eee440c: 199 groups; 2.3 s; peak memory 486 MiB.
2026-09-25T16:18:54Z INFO [96/381] 14fb2415-c1c3-4fcd-b34f-5c9979075ca6: 193 groups; 13.6 s; peak memory 486 MiB.
2026-09-25T16:19:00Z INFO [97/381] 14fbc745-1545-4011-8eee-84f91e5c8108: 78 groups; 5.9 s; peak memory 486 MiB.
2026-09-25T16:19:01Z INFO [98/381] 14fc3306-e14e-4d88-a12c-5bb3093c6239: 35 groups; 1.6 s; peak memory 486 MiB.
2026-09-25T16:19:03Z INFO [99/381] 14fc6a8f-9cd4-4160-9e67-d4020cff007e: 35 groups; 1.7 s; peak memory 486 MiB.
2026-09-25T16:19:06Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: 17 groups; 2.8 s; peak memory 486 MiB.
2026-09-25T16:19:06Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: checkpointed 57010 records.
2026-09-25T16:19:28Z INFO [101/381] 14fd99b4-801e-422f-a6b1-fc95057c80c4: 200 groups; 21.7 s; peak memory 486 MiB.
