2026-09-18T21:58:54Z INFO Logging to /tmp/logs/update_2026-09-18T21-58-54Z.log.
2026-09-18T21:58:54Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T21:58:54Z INFO Processing 368 items (49901 already recorded).
2026-09-18T22:05:12Z INFO [67/368] 066bfd6e-57ae-4fa2-9672-9101c374df6c: 202 groups; 1.1 s; peak memory 1082 MiB.
2026-09-18T22:05:13Z INFO [68/368] 066d38d5-1a29-403e-9faa-01eaf255b2a1: 32 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:05:18Z INFO [69/368] 066d4585-4e66-4588-91a9-ce90944f5943: 204 groups; 5.1 s; peak memory 1082 MiB.
2026-09-18T22:05:20Z INFO [70/368] 066e8e7d-688b-4d06-8ef5-f266d187d4ba: 35 groups; 1.6 s; peak memory 1082 MiB.
2026-09-18T22:05:23Z INFO [71/368] 066ee288-2f8c-4e66-9b37-72ab6748659c: 181 groups; 3.7 s; peak memory 1082 MiB.
2026-09-18T22:05:24Z INFO [72/368] 066f1ceb-fe09-4b77-a07b-749c676de3bc: 32 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:05:25Z INFO [73/368] 066fc6ea-7bd6-4858-a891-67c8ec07e205: 32 groups; 0.9 s; peak memory 1082 MiB.
2026-09-18T22:06:50Z INFO [74/368] 066fe628-6620-4edc-941b-acd959ea1f25: 60 groups; 84.8 s; peak memory 1082 MiB.
2026-09-18T22:06:55Z INFO [75/368] 0670ff4b-76ab-49c3-af60-449a7b3180ba: 36 groups; 5.5 s; peak memory 1082 MiB.
2026-09-18T22:06:56Z INFO [76/368] 06713c4b-2793-4215-8347-0aa7ff15f92c: 336 groups; 1.1 s; peak memory 1082 MiB.
2026-09-18T22:06:57Z INFO [77/368] 06716380-e13d-46ae-8e7e-fa21c09903ce: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:06:58Z INFO [78/368] 067173e7-2f5c-4e3a-9994-d2a9f19953f9: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:06:59Z INFO [79/368] 0671a1e4-f049-4f43-af47-dc24c11e7938: 196 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:00Z INFO [80/368] 0671abb8-d94d-4b0d-b9b7-a2ea65b6b79e: 50 groups; 1.6 s; peak memory 1082 MiB.
2026-09-18T22:07:01Z INFO [81/368] 06725e0c-b79a-487e-90f4-2fceb008408d: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:02Z INFO [82/368] 0672c6ea-b8a9-4268-afec-a5c0d7b40f6c: 35 groups; 1.0 s; peak memory 1082 MiB.
2026-09-18T22:07:06Z INFO [83/368] 06737f00-1e12-4ffe-96b9-958a9ec6b770: 161 groups; 4.0 s; peak memory 1082 MiB.
2026-09-18T22:07:07Z INFO [84/368] 0674b485-d393-44f1-80cf-85ad1eebd888: 36 groups; 0.9 s; peak memory 1082 MiB.
2026-09-18T22:07:07Z INFO [85/368] 06752a67-dfaf-4987-840c-6b42ba1e1cc7: 35 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:07:08Z INFO [86/368] 06760ea0-f991-4f89-ac3a-b7f77d3ee5ca: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:09Z INFO [87/368] 06770aa1-7f0c-4bca-926c-1986745019d9: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:09Z INFO [88/368] 067720cb-f739-4a07-b0e6-527c3138beb0: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:10Z INFO [89/368] 06779cd8-6ab1-428c-99b0-7c4b688cb5df: 33 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:13Z INFO [90/368] 0677fdc3-5d92-4614-88d4-55ca0edf23da: 133 groups; 2.9 s; peak memory 1082 MiB.
2026-09-18T22:07:14Z INFO [91/368] 067803a4-c8cb-4420-a04f-97858aa1dcdb: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:16Z INFO [92/368] 067899a7-e8d6-40d0-a8c7-5abeb032299d: 48 groups; 1.6 s; peak memory 1082 MiB.
2026-09-18T22:07:16Z INFO [93/368] 0678dd83-d6c0-4fa0-9b12-11a77f62458f: 25 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:18Z INFO [94/368] 0679437d-0e7c-424c-a8ee-5a23e63ae4a3: 48 groups; 1.4 s; peak memory 1082 MiB.
2026-09-18T22:07:19Z INFO [95/368] 0679a6e6-4c44-4e66-ba4e-f1f3922cd155: 25 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:23Z INFO [96/368] 067ab4db-be11-46c0-9988-ae251e4d92b4: 33 groups; 4.9 s; peak memory 1082 MiB.
2026-09-18T22:07:24Z INFO [97/368] 067b1310-aa5a-4e65-967f-6f05df4993c3: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:25Z INFO [98/368] 067e0869-88d7-4858-8671-64bd9a4718b3: 200 groups; 1.2 s; peak memory 1082 MiB.
2026-09-18T22:07:27Z INFO [99/368] 067e2a15-cd15-4f21-90d7-2368247d0440: 48 groups; 1.2 s; peak memory 1082 MiB.
2026-09-18T22:07:27Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:27Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: checkpointed 50001 records.
2026-09-18T22:07:28Z INFO [101/368] 067ea211-38bd-4f0a-87d4-107267bd9b3b: 107 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:29Z INFO [102/368] 067ea819-e5c4-418b-b391-ec5d803bbbc6: 32 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:33Z INFO [103/368] 067f8a20-3286-4b8a-aab5-97caa767bf14: 78 groups; 3.8 s; peak memory 1082 MiB.
