2026-09-20T18:20:33Z INFO Logging to /tmp/logs/update_2026-09-20T18-20-33Z.log.
2026-09-20T18:20:33Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T18:20:33Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:30:39Z INFO [57/363] 0a4891d9-d457-401f-95fd-673fcdae3461: 245 groups; 17.9 s; peak memory 1123 MiB.
2026-09-20T18:30:40Z INFO [58/363] 0a48b05f-a1b9-43d0-977a-054ee4e293b5: 48 groups; 1.9 s; peak memory 1123 MiB.
2026-09-20T18:30:53Z INFO [59/363] 0a4992da-91fd-4ed4-aed5-79290becc1dd: 211 groups; 12.2 s; peak memory 1123 MiB.
2026-09-20T18:30:54Z INFO [60/363] 0a4a1fc5-07a6-46a9-bdc6-bbd8a6c36b44: 201 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:30:55Z INFO [61/363] 0a4a36a4-ee0e-46f5-9378-a7397376d7ee: 25 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:30:56Z INFO [62/363] 0a4a4498-aeff-4833-9363-0387e2331277: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:30:57Z INFO [63/363] 0a4a7354-988d-48aa-8cad-3f4afa835834: 37 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:30:58Z INFO [64/363] 0a4b0eb0-937b-46c7-a7b3-73d22224aae6: 207 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:30:59Z INFO [65/363] 0a4c8a9c-f33c-4cf2-8a74-54acd3dba547: 32 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:31:01Z INFO [66/363] 0a4cf08d-895b-476f-a400-357b580693f9: 35 groups; 1.6 s; peak memory 1123 MiB.
2026-09-20T18:31:02Z INFO [67/363] 0a4d68eb-4086-411c-a19d-218416a16b5b: 35 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:31:03Z INFO [68/363] 0a4d896f-d0cb-416c-92b3-31b109ce8bdc: 20 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:31:04Z INFO [69/363] 0a4d9257-ff17-4774-8e47-ab872e2e007f: 337 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:31:07Z INFO [70/363] 0a4e34e8-e474-46f6-9e9e-a7365a2dc3c6: 50 groups; 2.2 s; peak memory 1123 MiB.
2026-09-20T18:31:11Z INFO [71/363] 0a4e94bb-17d0-4462-9458-7fb36094b2c4: 130 groups; 4.2 s; peak memory 1123 MiB.
2026-09-20T18:31:12Z INFO [72/363] 0a4ecbe7-9b65-46a7-8642-f6debdcd8341: 48 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:31:13Z INFO [73/363] 0a4f2257-66c4-4a0b-a413-fedf26ff4387: 22 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:31:14Z INFO [74/363] 0a4fe092-2727-440f-87d8-e128adf905d9: 35 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:31:15Z INFO [75/363] 0a50015e-8d46-4c65-902a-b56fe7749210: 22 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:31:16Z INFO [76/363] 0a500882-ed04-4f9e-9d7e-a0685158f67b: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:31:24Z INFO [77/363] 0a503a89-c8c5-4ff2-a0f7-1c9c5abc2bc8: 163 groups; 7.8 s; peak memory 1123 MiB.
2026-09-20T18:31:24Z INFO [78/363] 0a515ee3-452f-4bb3-a29b-ce478b101fff: 22 groups; 0.8 s; peak memory 1123 MiB.
