2026-09-20T21:57:25Z INFO Logging to /tmp/logs/update_2026-09-20T21-57-25Z.log.
2026-09-20T21:57:25Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T21:57:25Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:02:37Z INFO [64/369] 0b1a66b8-0bd0-4d95-b240-21c6d3d6500c: 32 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:02:38Z INFO [65/369] 0b1b8f06-b25e-4206-b69e-11f241e40fca: 21 groups; 1.2 s; peak memory 163 MiB.
2026-09-20T22:02:39Z INFO [66/369] 0b1caea8-ffb5-4062-816f-307577a45c63: 22 groups; 1.4 s; peak memory 163 MiB.
2026-09-20T22:02:46Z INFO [67/369] 0b1d9622-7cd1-4ad0-ac68-c080c27b14e5: 68 groups; 6.2 s; peak memory 163 MiB.
2026-09-20T22:02:47Z INFO [68/369] 0b1d98f8-70d5-436c-8a66-aa64ad11ee1d: 16 groups; 1.1 s; peak memory 163 MiB.
2026-09-20T22:02:48Z INFO [69/369] 0b1f5481-f006-400d-9671-8594365359b8: 18 groups; 1.0 s; peak memory 163 MiB.
2026-09-20T22:02:57Z INFO [70/369] 0b1fff1c-d192-4be1-b10b-6d4a4eb1dfd6: 108 groups; 9.2 s; peak memory 163 MiB.
2026-09-20T22:02:59Z INFO [71/369] 0b207236-a71f-4baf-b90e-d4c31160d487: 33 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:03:01Z INFO [72/369] 0b20bc75-27be-46b6-bf35-3f4b37f35f31: 336 groups; 2.1 s; peak memory 163 MiB.
2026-09-20T22:03:02Z INFO [73/369] 0b21c438-12d7-43f8-8222-5c9ca072db27: 32 groups; 1.7 s; peak memory 163 MiB.
2026-09-20T22:03:13Z INFO [74/369] 0b22a1f3-d4cc-4e1a-ae28-9f2a54233e84: 26 groups; 10.7 s; peak memory 163 MiB.
2026-09-20T22:03:15Z INFO [75/369] 0b240139-7927-4c15-9841-602f3634a00a: 254 groups; 1.7 s; peak memory 163 MiB.
2026-09-20T22:03:17Z INFO [76/369] 0b2574bf-156c-4870-b981-86d84ebe7262: 32 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:03:19Z INFO [77/369] 0b26edd8-7f95-4ec6-ad75-f09e34ebb64e: 48 groups; 2.7 s; peak memory 163 MiB.
2026-09-20T22:57:27Z INFO [78/369] 0b2719b6-bdcd-4f90-b8b4-d6d5e30da392: 742 groups; 3247.1 s; peak memory 1122 MiB.
2026-09-20T22:57:28Z INFO [79/369] 0b279b5c-3981-460b-98e2-c024ee1b2586: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:57:33Z INFO [80/369] 0b27de9b-c376-4285-9717-7ad213eae955: 17 groups; 5.1 s; peak memory 1122 MiB.
2026-09-20T22:57:35Z INFO [81/369] 0b2899b5-d78f-48f3-a59a-d3fdf691f966: 36 groups; 1.6 s; peak memory 1122 MiB.
