2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:20:33Z INFO [65/374] 04e51693-c77c-4308-a859-2078518513cb: 54 groups; 1.5 s; peak memory 402 MiB.
2026-09-18T15:20:34Z INFO [66/374] 04e537fd-635a-4d1c-85c2-6ce86ebe8e6b: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:20:35Z INFO [67/374] 04e58eae-80cc-4866-9894-d577f33053a5: 32 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:20:35Z INFO [68/374] 04e5a990-9c34-4151-b430-2d9529cdc31c: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:20:36Z INFO [69/374] 04e6692a-f8ae-4205-9b25-88979f89798e: 65 groups; 1.0 s; peak memory 402 MiB.
2026-09-18T15:20:38Z INFO [70/374] 04e6d7ac-ca1b-464f-8957-c56fc83e2251: 50 groups; 1.5 s; peak memory 402 MiB.
2026-09-18T15:20:39Z INFO [71/374] 04e6e187-cd74-46b9-bac6-5e26a08e226e: 35 groups; 1.2 s; peak memory 402 MiB.
2026-09-18T15:20:40Z INFO [72/374] 04e74583-9aa0-4fff-9189-0859a6150d77: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:20:41Z INFO [73/374] 04e7db75-acab-4c26-a3dd-a71c77444991: 336 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:20:42Z INFO [74/374] 04e7f16a-6af4-40a0-8ed8-b46396f16fee: 49 groups; 1.0 s; peak memory 402 MiB.
2026-09-18T15:20:42Z INFO [75/374] 04e80725-9f9a-4cf9-9a39-98449bf71d5f: 22 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:20:43Z INFO [76/374] 04e836d2-cd54-4065-9e05-5cf7b738d6ef: 17 groups; 0.4 s; peak memory 402 MiB.
2026-09-18T15:20:43Z INFO [77/374] 04ea2377-ec13-4b2f-ad22-5ab4443f0c37: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:20:44Z INFO [78/374] 04ea2caa-60ab-405c-a66e-34113f1e3d7c: 30 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:20:45Z INFO [79/374] 04eaf3d4-d242-45b6-94fe-a0832889eb03: 33 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:20:47Z INFO [80/374] 04eb25f0-0e94-43b9-8a8e-c613b37f5ef7: 98 groups; 2.4 s; peak memory 402 MiB.
