2026-09-24T15:58:39Z INFO Logging to /tmp/logs/update_2026-09-24T15-58-39Z.log.
2026-09-24T15:58:39Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-24T15:58:39Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:05:44Z INFO [89/371] 12aed46e-2823-49ae-80e2-7e4adf81d936: 18 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:05:46Z INFO [90/371] 12af8d74-7815-4d42-a3e5-b40e6eb83a59: 35 groups; 1.6 s; peak memory 300 MiB.
2026-09-24T16:05:48Z INFO [91/371] 12afca9c-4bac-4ec4-a569-0615691b39b9: 55 groups; 2.7 s; peak memory 300 MiB.
2026-09-24T16:05:50Z INFO [92/371] 12afe951-e765-429d-82f9-66c297b51aa7: 33 groups; 1.6 s; peak memory 300 MiB.
2026-09-24T16:06:38Z INFO [93/371] 12b00315-e14e-4857-8887-e9c0510ac721: 26 groups; 47.9 s; peak memory 300 MiB.
2026-09-24T16:06:39Z INFO [94/371] 12b00d97-6abd-42a6-a7e9-d7f7fd56aaaa: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:06:41Z INFO [95/371] 12b04bdb-c339-438b-9c2d-94afa2c7f8da: 33 groups; 1.6 s; peak memory 300 MiB.
2026-09-24T16:06:42Z INFO [96/371] 12b19540-2df1-4a10-a131-90db4f3a03d4: 32 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:06:44Z INFO [97/371] 12b1d616-4d7c-4709-9b89-f9fa6f1f266a: 259 groups; 1.9 s; peak memory 300 MiB.
2026-09-24T16:06:53Z INFO [98/371] 12b1dc16-4a01-4404-a412-21dfaaebc717: 116 groups; 8.6 s; peak memory 300 MiB.
2026-09-24T16:06:54Z INFO [99/371] 12b258f5-df3a-4550-a93a-574ddb125bb6: 25 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:06:55Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:06:55Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: checkpointed 55898 records.
2026-09-24T16:06:58Z INFO [101/371] 12b36384-ec7c-4dee-9ad6-d31c191f2731: 50 groups; 3.2 s; peak memory 300 MiB.
2026-09-24T16:07:00Z INFO [102/371] 12b43d4b-166a-476a-91ac-24631be55d54: 32 groups; 1.2 s; peak memory 300 MiB.
