2026-09-26T15:10:48Z INFO Logging to /tmp/logs/update_2026-09-26T15-10-48Z.log.
2026-09-26T15:10:48Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-26T15:10:48Z INFO Processing 384 items (58022 already recorded).
2026-09-26T15:16:51Z INFO [59/384] 1739fdcf-0dc0-4abd-9a42-95e2ae549a9b: 32 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:16:52Z INFO [60/384] 173b4a0d-2edd-425c-baba-6bcd5278e8cf: 25 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:16:53Z INFO [61/384] 173b8857-7f73-4282-9b33-26a7d54d3030: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:16:55Z INFO [62/384] 173c6f93-9e8c-4d84-a484-239f3dfc2870: 49 groups; 1.6 s; peak memory 271 MiB.
2026-09-26T15:17:01Z INFO [63/384] 173d8b10-e1e7-4e17-b102-6b0cf4d35052: 78 groups; 6.2 s; peak memory 271 MiB.
2026-09-26T15:17:03Z INFO [64/384] 173e45ec-d063-4525-bc28-eec98b0a3ea6: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:17:05Z INFO [65/384] 173f09e8-371f-4c6e-a7a5-788de1cdf61a: 207 groups; 2.2 s; peak memory 271 MiB.
2026-09-26T15:17:06Z INFO [66/384] 17411fc8-c79d-475c-b9a8-7d27a616617b: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:17:08Z INFO [67/384] 17413abc-f7c6-4e71-aee0-becf82d43dd0: 22 groups; 1.1 s; peak memory 271 MiB.
2026-09-26T15:17:10Z INFO [68/384] 17418c6f-d854-4f97-8694-25cbb176ed40: 49 groups; 2.2 s; peak memory 271 MiB.
2026-09-26T15:17:12Z INFO [69/384] 1742111c-6734-4b94-a7f2-cce609ff91c2: 35 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:17:15Z INFO [70/384] 1742374d-394b-40c6-a670-e69860488c5e: 50 groups; 3.2 s; peak memory 271 MiB.
2026-09-26T15:17:16Z INFO [71/384] 174245c9-1910-4ddc-9d03-0808efd2781f: 22 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:17:17Z INFO [72/384] 17426d2a-2cfb-4765-ab65-0ede727896dd: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:17:18Z INFO [73/384] 17429a7a-c505-4781-9443-d9ef7ec9d4d8: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:17:43Z INFO [74/384] 1742c1bb-c394-4018-a0f2-69402235074d: 1469 groups; 24.4 s; peak memory 271 MiB.
2026-09-26T15:17:46Z INFO [75/384] 1743330d-5443-44fe-b46b-dedba702dc26: 48 groups; 2.8 s; peak memory 271 MiB.
2026-09-26T15:17:47Z INFO [76/384] 1743a0a0-4c99-464c-b711-f79eafa0472f: 16 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:17:56Z INFO [77/384] 1743ee28-007e-4d51-8dae-4430019bca44: 27 groups; 9.3 s; peak memory 271 MiB.
2026-09-26T15:17:58Z INFO [78/384] 17448ffd-481a-4380-a415-2abf7e8f0590: 336 groups; 1.9 s; peak memory 271 MiB.
2026-09-26T15:18:00Z INFO [79/384] 1744a051-3428-41a7-a24a-199dccc44a70: 206 groups; 1.8 s; peak memory 271 MiB.
2026-09-26T15:18:01Z INFO [80/384] 174506ab-a9c4-4854-b3b4-4592959178f7: 24 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:18:03Z INFO [81/384] 17456f5f-8db0-45e7-94fa-bae54aef1347: 22 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:18:04Z INFO [82/384] 17469923-9946-4879-a32d-8c87c38571d9: 32 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:18:05Z INFO [83/384] 1746d035-05a3-4c26-a971-31afe742204d: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:18:07Z INFO [84/384] 174735ac-7ef8-49f8-9506-9fcc36015940: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:18:08Z INFO [85/384] 17475810-a23a-4864-8c44-aad2a71d1e8d: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:18:09Z INFO [86/384] 1747a2e1-b2f8-479a-8c4f-9464a2b22cb7: 22 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:18:11Z INFO [87/384] 17490736-6323-4153-90a1-268711a68d2b: 70 groups; 2.0 s; peak memory 271 MiB.
2026-09-26T15:18:14Z INFO [88/384] 17491cf2-0326-4a39-ab3f-3cd5099a2cc0: 48 groups; 2.9 s; peak memory 271 MiB.
2026-09-26T15:18:22Z INFO [89/384] 174957c6-0923-467c-b37e-9670e33f0694: 34 groups; 7.8 s; peak memory 271 MiB.
2026-09-26T15:18:24Z INFO [90/384] 174a76b1-d5ac-45f5-a83b-69fce9dc5302: 201 groups; 1.8 s; peak memory 271 MiB.
2026-09-26T15:18:25Z INFO [91/384] 174a8088-9edb-46df-a2de-2c5d2597e367: 36 groups; 1.6 s; peak memory 271 MiB.
2026-09-26T15:18:27Z INFO [92/384] 174abd3b-f56a-426e-841c-0bdb3bd6b002: 35 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:18:28Z INFO [93/384] 174afe4b-0c89-4df4-9975-2a4ffbb8344a: 16 groups; 1.0 s; peak memory 271 MiB.
2026-09-26T15:18:29Z INFO [94/384] 174aff1d-173f-460a-9a48-480c5c9190b3: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:18:31Z INFO [95/384] 174c0234-b406-47ea-a257-076d1585ff25: 201 groups; 1.6 s; peak memory 271 MiB.
2026-09-26T15:18:32Z INFO [96/384] 174cccef-0cd8-4a7a-b90a-c28e893e188a: 30 groups; 1.0 s; peak memory 271 MiB.
2026-09-26T15:18:33Z INFO [97/384] 174d4867-d96f-4328-9c56-a232ea02ca7b: 26 groups; 0.9 s; peak memory 271 MiB.
