2026-09-21T21:17:01Z INFO Logging to /tmp/logs/update_2026-09-21T21-17-01Z.log.
2026-09-21T21:17:01Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T21:17:01Z INFO Processing 356 items (52866 already recorded).
2026-09-21T21:21:10Z INFO [52/356] 0c9d001e-c43d-45c7-b6fe-d1af429a52a4: 207 groups; 1.6 s; peak memory 212 MiB.
2026-09-21T21:21:11Z INFO [53/356] 0c9d1ef4-f138-43f9-abc7-494438ecc23d: 25 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:21:12Z INFO [54/356] 0c9d9838-b9c7-46f0-8575-130e736964a0: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:21:13Z INFO [55/356] 0c9e5114-b5e3-4a99-ba2d-5c3aba49be2e: 33 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:21:15Z INFO [56/356] 0c9e8607-8d70-46da-aa33-116ed04e5af7: 22 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:21:16Z INFO [57/356] 0c9ed46f-7820-4c98-bc18-249a1bc5651b: 17 groups; 0.9 s; peak memory 212 MiB.
2026-09-21T21:21:17Z INFO [58/356] 0c9efdd2-12a5-4500-8a9d-a8365efac770: 33 groups; 1.6 s; peak memory 212 MiB.
2026-09-21T21:21:18Z INFO [59/356] 0c9f1c15-311d-411d-8f2b-bb1bb79941b3: 29 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:21:19Z INFO [60/356] 0c9f1e96-ed7b-44a5-b2a3-7a1f2977bd5d: 99 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:21:21Z INFO [61/356] 0ca13239-b128-459e-887c-cfb6a615a7f8: 22 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:21:22Z INFO [62/356] 0ca1af61-a340-470b-af55-f682ab89c4f9: 30 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:21:23Z INFO [63/356] 0ca2789d-d620-4874-afaa-ea7928aafe8c: 17 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:21:36Z INFO [64/356] 0ca2aae7-becb-4500-9745-bcfbba902c5e: 228 groups; 12.6 s; peak memory 212 MiB.
2026-09-21T21:21:37Z INFO [65/356] 0ca30142-13c5-4aa0-8588-7212ff6ba0a4: 22 groups; 0.9 s; peak memory 212 MiB.
2026-09-21T21:21:43Z INFO [66/356] 0ca44c75-0ffa-4795-a239-5faf26c3276c: 66 groups; 5.9 s; peak memory 212 MiB.
2026-09-21T21:21:44Z INFO [67/356] 0ca478d2-3906-4172-8c06-d7691e51a7ee: 337 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:22:02Z INFO [68/356] 0ca489dc-8c49-4444-a3ca-5298b181c683: 277 groups; 17.9 s; peak memory 212 MiB.
2026-09-21T21:22:03Z INFO [69/356] 0ca583e0-5190-4d42-b56b-79a77480d764: 17 groups; 0.9 s; peak memory 212 MiB.
2026-09-21T21:22:04Z INFO [70/356] 0ca5d8b2-d4cb-4372-81be-b3976818ef64: 16 groups; 0.9 s; peak memory 212 MiB.
