2026-09-17T15:43:16Z INFO Logging to /tmp/logs/update_2026-09-17T15-43-16Z.log.
2026-09-17T15:43:16Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T15:43:16Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:09:29Z INFO [111/385] 028979ab-3a71-405c-9eb1-85486f0b8192: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:09:30Z INFO [112/385] 028a4a06-4529-47fb-b5d8-9d0b041e4100: 32 groups; 1.2 s; peak memory 1307 MiB.
2026-09-17T16:09:31Z INFO [113/385] 028b6b5e-5f02-4f14-a1c1-6db68da7eef4: 22 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:09:33Z INFO [114/385] 028be36d-33e7-4cc7-aabe-b35d358f2eea: 32 groups; 1.2 s; peak memory 1307 MiB.
2026-09-17T16:09:34Z INFO [115/385] 028c061c-c72b-49f9-a0da-04dcaf9da140: 194 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:09:44Z INFO [116/385] 028d135a-7ce8-42eb-af71-7247c3203f28: 264 groups; 10.6 s; peak memory 1307 MiB.
2026-09-17T16:09:45Z INFO [117/385] 028dfba3-b9bc-4f66-8875-e101935eecf3: 32 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:09:47Z INFO [118/385] 028e5921-08e8-4dc6-8dd5-e536a8f320fb: 199 groups; 1.6 s; peak memory 1307 MiB.
2026-09-17T16:09:48Z INFO [119/385] 028ead3b-09ae-4b5f-9697-c51638a55c9c: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:09:49Z INFO [120/385] 028ef11f-c970-4265-8ab7-83172c4be6aa: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:09:49Z INFO [121/385] 028fc389-ac38-4662-b310-efd45233854f: 16 groups; 0.7 s; peak memory 1307 MiB.
