2026-09-17T19:21:28Z INFO Logging to /tmp/logs/update_2026-09-17T19-21-28Z.log.
2026-09-17T19:21:28Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T19:21:28Z INFO Processing 371 items (48415 already recorded).
2026-09-17T19:41:11Z INFO [165/371] 0375a406-f151-4e99-8ff4-3cb5ff79e2be: 124 groups; 4.5 s; peak memory 1116 MiB.
2026-09-17T19:41:13Z INFO [166/371] 037606f9-1415-4829-b7b9-84bf50525328: 17 groups; 1.8 s; peak memory 1116 MiB.
2026-09-17T19:41:14Z INFO [167/371] 03761aa2-e0ab-4711-bcf1-0df897c3b356: 32 groups; 1.0 s; peak memory 1116 MiB.
2026-09-17T19:41:15Z INFO [168/371] 03763b46-a5d2-4443-b896-f8576bd92ee2: 32 groups; 1.1 s; peak memory 1116 MiB.
2026-09-17T19:41:15Z INFO [169/371] 0376e06d-727c-4fef-8e83-262f298427ed: 16 groups; 0.6 s; peak memory 1116 MiB.
2026-09-17T19:41:17Z INFO [170/371] 03774c71-940e-4149-8d0b-ba76e76e0236: 54 groups; 2.0 s; peak memory 1116 MiB.
2026-09-17T19:41:22Z INFO [171/371] 03778925-295d-43ad-88cc-0a7f42ab901e: 117 groups; 5.1 s; peak memory 1116 MiB.
2026-09-17T19:41:23Z INFO [172/371] 0378476f-30d8-4389-9f55-b06da2f87969: 16 groups; 0.7 s; peak memory 1116 MiB.
2026-09-17T19:41:30Z INFO [173/371] 0378a803-fd3f-4fa4-9923-caf25115bd4b: 196 groups; 7.1 s; peak memory 1116 MiB.
2026-09-17T19:41:31Z INFO [174/371] 0378ef84-ebd7-4071-9b98-2bca75bbbbfd: 22 groups; 0.8 s; peak memory 1116 MiB.
2026-09-17T19:41:32Z INFO [175/371] 0379d168-f025-4d92-b771-370c4649d0c4: 26 groups; 0.6 s; peak memory 1116 MiB.
2026-09-17T19:41:33Z INFO [176/371] 0379d6a0-79d9-4ad9-a764-b1b39654b486: 35 groups; 1.4 s; peak memory 1116 MiB.
2026-09-17T19:41:35Z INFO [177/371] 037a2481-0021-4d3e-94a9-1d8e2433bc31: 48 groups; 1.6 s; peak memory 1116 MiB.
2026-09-17T19:41:36Z INFO [178/371] 037cc826-b4af-4b24-96ae-c69590ebb7ad: 33 groups; 0.8 s; peak memory 1116 MiB.
