2026-09-18T18:40:45Z INFO Logging to /tmp/logs/update_2026-09-18T18-40-45Z.log.
2026-09-18T18:40:45Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T18:40:45Z INFO Processing 375 items (49526 already recorded).
2026-09-18T18:44:12Z INFO [78/375] 05b2471f-c03c-4ed4-b67c-588e2f08fc82: 199 groups; 1.3 s; peak memory 201 MiB.
2026-09-18T18:44:13Z INFO [79/375] 05b309aa-c900-4a93-a923-1f688da6124d: 34 groups; 1.1 s; peak memory 201 MiB.
2026-09-18T18:44:14Z INFO [80/375] 05b320ee-4547-4a84-b60d-73e5da0c1142: 16 groups; 0.6 s; peak memory 201 MiB.
2026-09-18T18:44:15Z INFO [81/375] 05b3c55d-2c1e-4f0e-9b36-eea4c5826366: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:44:19Z INFO [82/375] 05b496f6-87ac-4c5e-a77b-a3f504b522da: 181 groups; 4.4 s; peak memory 201 MiB.
2026-09-18T18:45:01Z INFO [83/375] 05b4ee62-d548-434b-a92c-d234a646dd2b: 942 groups; 41.5 s; peak memory 222 MiB.
2026-09-18T18:45:02Z INFO [84/375] 05b55d06-6b9c-4e31-9efc-cf0886c6422c: 32 groups; 1.1 s; peak memory 222 MiB.
2026-09-18T18:45:03Z INFO [85/375] 05b677f8-9df6-40f7-88a1-b9c53126bf3a: 35 groups; 1.3 s; peak memory 222 MiB.
2026-09-18T18:45:04Z INFO [86/375] 05b756ec-d669-4e3b-b044-ddd520fbd54d: 201 groups; 1.1 s; peak memory 222 MiB.
2026-09-18T18:45:05Z INFO [87/375] 05b8073e-c8bb-41db-8911-2ce119aca306: 22 groups; 0.8 s; peak memory 222 MiB.
2026-09-18T18:45:06Z INFO [88/375] 05b85da6-d091-4f85-b39f-f0686a57753d: 32 groups; 1.1 s; peak memory 222 MiB.
2026-09-18T18:45:08Z INFO [89/375] 05b86317-c0c4-4a34-bddb-0c7d1bc25eba: 336 groups; 1.5 s; peak memory 222 MiB.
2026-09-18T18:45:08Z INFO [90/375] 05b88182-7c82-4dd3-b9c1-dca9bd2cb9a5: 22 groups; 0.8 s; peak memory 222 MiB.
2026-09-18T18:45:12Z INFO [91/375] 05b92744-7cd5-44d3-a2f1-935457251bf3: 75 groups; 3.8 s; peak memory 222 MiB.
2026-09-18T18:45:19Z INFO [92/375] 05b9b3f3-b227-439c-b2a9-22695e610bf0: 144 groups; 6.4 s; peak memory 222 MiB.
2026-09-18T18:48:06Z INFO [93/375] 05ba097b-f014-4e05-8b8a-362101cf2a56: 75 groups; 167.9 s; peak memory 414 MiB.
2026-09-18T18:48:08Z INFO [94/375] 05bb0b64-af6d-4adf-8027-354a4a31e459: 199 groups; 1.3 s; peak memory 414 MiB.
2026-09-18T18:48:09Z INFO [95/375] 05bb30d1-2ae2-4075-a701-06e81eb86bd2: 24 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:48:18Z INFO [96/375] 05bb8557-415c-4fd0-8c7f-e3fc7bb752bc: 87 groups; 9.4 s; peak memory 414 MiB.
2026-09-18T18:48:20Z INFO [97/375] 05bba29b-3e89-40db-be27-9d275cac385e: 35 groups; 1.6 s; peak memory 414 MiB.
2026-09-18T18:48:24Z INFO [98/375] 05bcc39e-61b6-4dc8-8f37-5b7201de8fb3: 125 groups; 4.1 s; peak memory 414 MiB.
2026-09-18T18:48:25Z INFO [99/375] 05bceb2c-dc2f-4b3a-b625-8806fc26f274: 36 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:48:29Z INFO [100/375] 05bdb147-d79b-4de4-a99b-0bda64dbcd26: 66 groups; 4.0 s; peak memory 414 MiB.
2026-09-18T18:48:29Z INFO [100/375] 05bdb147-d79b-4de4-a99b-0bda64dbcd26: checkpointed 49626 records.
2026-09-18T18:49:03Z INFO [101/375] 05bea909-fab0-453d-b0bc-f401e4cf6a63: 27 groups; 34.4 s; peak memory 414 MiB.
2026-09-18T18:49:05Z INFO [102/375] 05c0d03c-2eaf-4df2-9673-2ece9f433147: 35 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:49:06Z INFO [103/375] 05c0f741-419c-4706-b8d7-f43dd97ec10b: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:07Z INFO [104/375] 05c1438f-4d55-47c5-8852-db4707df3225: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:08Z INFO [105/375] 05c1d11d-a2c5-44ec-8df0-ae66612122a6: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:09Z INFO [106/375] 05c22c2c-dcb0-46a2-9fbc-c04488a7f54f: 253 groups; 1.3 s; peak memory 414 MiB.
2026-09-18T18:49:10Z INFO [107/375] 05c2623b-5023-427a-8671-5435fe4e426d: 32 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:49:11Z INFO [108/375] 05c2abd2-7b77-45e5-a87f-18613f174e9c: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:12Z INFO [109/375] 05c2f42b-b527-4e28-a812-364e2605c37f: 203 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:49:14Z INFO [110/375] 05c378d6-b02a-4f48-a18e-634bbc0c97dc: 47 groups; 2.1 s; peak memory 414 MiB.
2026-09-18T18:49:16Z INFO [111/375] 05c4e2d1-a042-40af-bf8e-e28071718747: 41 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:49:17Z INFO [112/375] 05c5b4dc-9d43-4a4f-87eb-b42fa5bf1f11: 32 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:49:18Z INFO [113/375] 05c5f3df-9747-4400-8257-060d8ff702ac: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:49:19Z INFO [114/375] 05c613b2-93d6-4ee6-8a6c-3aa5ef2ec969: 35 groups; 1.3 s; peak memory 414 MiB.
2026-09-18T18:49:20Z INFO [115/375] 05c61974-434e-4184-ab40-c33d50052088: 43 groups; 1.4 s; peak memory 414 MiB.
2026-09-18T18:49:21Z INFO [116/375] 05c6dc24-51c8-4a41-8526-450b8f1e9c7e: 31 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:49:23Z INFO [117/375] 05c734ed-4b11-4d90-9181-80d2ed559f89: 50 groups; 2.4 s; peak memory 414 MiB.
2026-09-18T18:49:24Z INFO [118/375] 05c7fc4c-b739-4c1f-bfbc-0892e81a29a2: 16 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:49:25Z INFO [119/375] 05c82f28-bc3f-48a5-8e66-3978df5491f8: 36 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:49:26Z INFO [120/375] 05c88a3a-6fd9-43f3-85d2-cd299005759b: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:28Z INFO [121/375] 05c8b753-73d7-42c5-acee-1a7eacb26a37: 33 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:49:29Z INFO [122/375] 05c9690a-7a8b-43f9-bd70-2f1eb672c60a: 33 groups; 1.1 s; peak memory 414 MiB.
