2026-09-21T17:14:51Z INFO Logging to /tmp/logs/update_2026-09-21T17-14-51Z.log.
2026-09-21T17:14:51Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T17:14:52Z INFO Processing 367 items (52499 already recorded).
2026-09-21T17:17:37Z INFO [65/367] 0be1c9f1-a074-482b-beaf-8035fafe307e: 47 groups; 2.5 s; peak memory 197 MiB.
2026-09-21T17:17:40Z INFO [66/367] 0be23455-a494-4d6b-89d2-4a52ca720b57: 35 groups; 2.8 s; peak memory 197 MiB.
2026-09-21T17:17:40Z INFO [67/367] 0be3f5f4-5629-4dd4-acea-aceb0a8d31a3: 22 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:17:42Z INFO [68/367] 0be52d2b-6db6-49c9-a7d4-ca06b5726a91: 32 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:17:43Z INFO [69/367] 0be595e1-acb1-433d-b50b-e860c8f70be9: 337 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:17:44Z INFO [70/367] 0be5dc3b-eae7-406c-ad48-3f09389267ff: 50 groups; 2.0 s; peak memory 197 MiB.
2026-09-21T17:17:45Z INFO [71/367] 0be60064-ba6c-4a9f-95a8-0b1e1f7a3ce9: 22 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:17:54Z INFO [72/367] 0be719c1-00c0-4756-823b-08f15b40391b: 228 groups; 8.8 s; peak memory 197 MiB.
2026-09-21T17:17:55Z INFO [73/367] 0be93f18-8608-4df2-a594-97c67759ffff: 255 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:17:56Z INFO [74/367] 0be940c2-8c26-47da-9947-889855e1918d: 32 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:17:57Z INFO [75/367] 0be95fc6-b2f9-446b-87ee-2a47175b127c: 36 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:17:57Z INFO [76/367] 0be999a5-81a1-45cb-83d3-198b6a32ab60: 22 groups; 0.6 s; peak memory 197 MiB.
2026-09-21T17:18:04Z INFO [77/367] 0bea007c-0c61-4de2-b33b-5e2d3a13923b: 50 groups; 7.0 s; peak memory 235 MiB.
2026-09-21T17:18:06Z INFO [78/367] 0beabc9c-0c5c-4890-a145-ab85be33897f: 35 groups; 1.1 s; peak memory 235 MiB.
2026-09-21T17:18:18Z INFO [79/367] 0beb5b14-3df6-4ec4-837b-9ccaded562c7: 27 groups; 12.9 s; peak memory 245 MiB.
2026-09-21T17:18:20Z INFO [80/367] 0bebd8db-4ad3-4d35-b60a-b85931f34f15: 200 groups; 1.6 s; peak memory 245 MiB.
2026-09-21T17:18:21Z INFO [81/367] 0beca01a-54bd-4714-9b64-f4fcd92c9dcc: 22 groups; 0.8 s; peak memory 245 MiB.
2026-09-21T17:18:22Z INFO [82/367] 0bed09d6-f58a-4715-9f5b-d87f3f43b501: 22 groups; 0.9 s; peak memory 245 MiB.
